name,region,year,population,Deaths,income,lifeExpectancy
East Midlands,Cardiovascular diseases,1990,5576.831712,306.5996475,325.4963406,5251.335406
East Midlands,Neoplasms,1990,4261.395486,182.4547142,143.8938301,4117.501671
East Midlands,other conditions,1990,16783.73341,211.8711892,11019.08876,5764.64584
East Midlands,Cardiovascular diseases,1991,5499.358084,304.2229623,319.7430488,5179.615069
East Midlands,Neoplasms,1991,4292.731655,183.9118889,147.750222,4144.981449
East Midlands,other conditions,1991,16726.61795,213.0698928,11037.49998,5689.119161
East Midlands,Cardiovascular diseases,1992,5317.976368,295.6257073,314.4438095,5003.532592
East Midlands,Neoplasms,1992,4230.587379,182.1344993,149.407184,4081.180211
East Midlands,other conditions,1992,16510.52869,210.1094795,11053.02683,5457.50306
East Midlands,Cardiovascular diseases,1993,5194.956127,290.1765774,309.6393076,4885.316853
East Midlands,Neoplasms,1993,4207.910678,181.5117925,153.0700961,4054.840598
East Midlands,other conditions,1993,16469.31006,213.3715474,11066.75652,5402.55474
East Midlands,Cardiovascular diseases,1994,4919.720676,275.6114463,305.8093944,4613.911314
East Midlands,Neoplasms,1994,4106.865089,177.5486374,152.6784312,3954.186675
East Midlands,other conditions,1994,16381.33402,211.2268116,11078.54424,5302.790973
East Midlands,Cardiovascular diseases,1995,4766.007346,267.1601007,303.1376491,4462.86973
East Midlands,Neoplasms,1995,4044.526012,175.1699922,154.9002626,3889.625766
East Midlands,other conditions,1995,16358.55234,212.2721353,11079.8226,5278.730931
East Midlands,Cardiovascular diseases,1996,4604.161695,258.1316551,301.2505747,4302.911153
East Midlands,Neoplasms,1996,3978.346319,172.5752844,155.6176779,3822.728658
East Midlands,other conditions,1996,16390.9886,212.6255981,11095.46905,5295.520744
East Midlands,Cardiovascular diseases,1997,4449.060194,249.6631527,299.3719068,4149.688319
East Midlands,Neoplasms,1997,3926.096195,170.7765441,156.2513521,3769.84486
East Midlands,other conditions,1997,16365.69971,213.075201,11112.34368,5253.357228
East Midlands,Cardiovascular diseases,1998,4317.897301,243.0081565,297.5019258,4020.395407
East Midlands,Neoplasms,1998,3877.596471,169.5614729,158.0482424,3719.548246
East Midlands,other conditions,1998,16359.82094,213.6316037,11130.19676,5229.625374
East Midlands,Cardiovascular diseases,1999,4222.328658,237.8353061,295.5468947,3926.781796
East Midlands,Neoplasms,1999,3878.622436,169.7868955,160.5592081,3718.063245
East Midlands,other conditions,1999,16462.63659,217.0201893,11143.80838,5318.829412
East Midlands,Cardiovascular diseases,2000,3978.783859,224.2631273,293.3277035,3685.456187
East Midlands,Neoplasms,2000,3773.357279,165.2631642,160.4280964,3612.9292
East Midlands,other conditions,2000,16361.91879,211.9997754,11147.99174,5213.928261
East Midlands,Cardiovascular diseases,2001,3762.812995,213.8241819,289.9199071,3472.893119
East Midlands,Neoplasms,2001,3656.933404,161.1284572,160.2349189,3496.698502
East Midlands,other conditions,2001,16198.41573,204.7319049,11148.80822,5049.608715
East Midlands,Cardiovascular diseases,2002,3708.742759,211.5822159,284.8379255,3423.904864
East Midlands,Neoplasms,2002,3680.733481,162.9912921,163.7816455,3516.951853
East Midlands,other conditions,2002,16187.92057,206.076796,11150.08833,5037.833446
East Midlands,Cardiovascular diseases,2003,3585.100791,204.6123915,279.1562473,3305.944574
