x0,y0,x1,y1,fill,stage,identifier
1,1,1,1,NA,Stage1,NA
2,1,2,1,NA,Stage1,NA
3,1,3,1,NA,Stage1,NA
4,1,4,1,NA,Stage1,NA
5,1,5,1,NA,Stage1,NA
6,1,6,1,NA,Stage1,NA
7,1,7,1,NA,Stage1,NA
8,1,8,1,NA,Stage1,NA
9,1,9,1,NA,Stage1,NA
10,1,10,1,NA,Stage1,NA
11,1,11,1,NA,Stage1,NA
12,1,12,1,NA,Stage1,NA
13,1,13,1,NA,Stage1,NA
14,1,14,1,NA,Stage1,NA
15,1,15,1,NA,Stage1,NA
16,1,16,1,NA,Stage1,NA
17,1,17,1,NA,Stage1,NA
18,1,18,1,NA,Stage1,NA
19,1,19,1,NA,Stage1,NA
20,1,20,1,NA,Stage1,NA
21,1,21,1,NA,Stage1,NA
22,1,22,1,NA,Stage1,NA
23,1,23,1,NA,Stage1,NA
24,1,24,1,NA,Stage1,NA
25,1,25,1,NA,Stage1,NA
26,1,26,1,NA,Stage1,NA
27,1,27,1,NA,Stage1,NA
28,1,28,1,NA,Stage1,NA
29,1,29,1,NA,Stage1,NA
30,1,30,1,NA,Stage1,NA
31,1,31,1,NA,Stage1,NA
32,1,32,1,NA,Stage1,NA
33,1,33,1,NA,Stage1,NA
34,1,34,1,NA,Stage1,NA
35,1,35,1,NA,Stage1,NA
36,1,36,1,NA,Stage1,NA
37,1,37,1,NA,Stage1,NA
38,1,38,1,NA,Stage1,NA
39,1,39,1,NA,Stage1,NA
40,1,40,1,NA,Stage1,NA
41,1,41,1,NA,Stage1,NA
42,1,42,1,NA,Stage1,NA
43,1,43,1,NA,Stage1,NA
44,1,44,1,NA,Stage1,NA
45,1,45,1,NA,Stage1,NA
46,1,46,1,NA,Stage1,NA
47,1,47,1,NA,Stage1,NA
48,1,48,1,NA,Stage1,NA
49,1,49,1,NA,Stage1,NA
50,1,50,1,NA,Stage1,NA
51,1,51,1,NA,Stage1,NA
52,1,52,1,NA,Stage1,NA
53,1,53,1,NA,Stage1,NA
54,1,54,1,NA,Stage1,NA
55,1,55,1,NA,Stage1,NA
56,1,56,1,NA,Stage1,NA
57,1,57,1,NA,Stage1,NA
58,1,58,1,NA,Stage1,NA
59,1,59,1,NA,Stage1,NA
60,1,60,1,NA,Stage1,NA
1,2,1,2,NA,Stage1,NA
2,2,2,2,NA,Stage1,NA
3,2,3,2,NA,Stage1,NA
4,2,4,2,NA,Stage1,NA
5,2,5,2,NA,Stage1,NA
6,2,6,2,NA,Stage1,NA
7,2,7,2,NA,Stage1,NA
8,2,8,2,NA,Stage1,NA
9,2,9,2,NA,Stage1,NA
10,2,10,2,NA,Stage1,NA
11,2,11,2,NA,Stage1,NA
12,2,12,2,NA,Stage1,NA
13,2,13,2,NA,Stage1,NA
14,2,14,2,NA,Stage1,NA
15,2,15,2,NA,Stage1,NA
16,2,16,2,NA,Stage1,NA
17,2,17,2,NA,Stage1,NA
18,2,18,2,NA,Stage1,NA
19,2,19,2,NA,Stage1,NA
20,2,20,2,NA,Stage1,NA
21,2,21,2,NA,Stage1,NA
22,2,22,2,NA,Stage1,NA
23,2,23,2,NA,Stage1,NA
24,2,24,2,NA,Stage1,NA
25,2,25,2,NA,Stage1,NA
26,2,26,2,NA,Stage1,NA
27,2,27,2,NA,Stage1,NA
28,2,28,2,NA,Stage1,NA
29,2,29,2,NA,Stage1,NA
30,2,30,2,NA,Stage1,NA
31,2,31,2,NA,Stage1,NA
32,2,32,2,NA,Stage1,NA
33,2,33,2,NA,Stage1,NA
34,2,34,2,NA,Stage1,NA
35,2,35,2,NA,Stage1,NA
36,2,36,2,NA,Stage1,NA
37,2,37,2,NA,Stage1,NA
38,2,38,2,NA,Stage1,NA
39,2,39,2,NA,Stage1,NA
40,2,40,2,NA,Stage1,NA
41,2,41,2,NA,Stage1,NA
42,2,42,2,NA,Stage1,NA
43,2,43,2,NA,Stage1,NA
44,2,44,2,NA,Stage1,NA
45,2,45,2,NA,Stage1,NA
46,2,46,2,NA,Stage1,NA
47,2,47,2,NA,Stage1,NA
48,2,48,2,NA,Stage1,NA
49,2,49,2,NA,Stage1,NA
50,2,50,2,NA,Stage1,NA
51,2,51,2,NA,Stage1,NA
52,2,52,2,NA,Stage1,NA
53,2,53,2,NA,Stage1,NA
54,2,54,2,NA,Stage1,NA
55,2,55,2,NA,Stage1,NA
56,2,56,2,NA,Stage1,NA
57,2,57,2,NA,Stage1,NA
58,2,58,2,NA,Stage1,NA
59,2,59,2,NA,Stage1,NA
60,2,60,2,NA,Stage1,NA
